id,Year,Page,COR,LOE,Recommendation,SourceFile
id_00001,2024,10,Class 1,C-EO,A first aid provider who is assisting a person with a potentially serious illness or injury should immediately activate the emergency response system.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00002,2024,10,Class 1,C-EO,A first aid provider who is assisting a person with a potentially serious illness or injury should remain with the person until trained rescuers arrive as long as it is safe to do so.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00003,2024,10,Class 1,C-EO,"If the area is unsafe, the first aid provider should move an ill or injured person to a safe location if possible and safe for the first aid provider to do so.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00004,2024,10,Class 1,C-EO,"If a person has been injured, is responsive, and is breathing normally and the nature of the injury suggests a neck, back, hip, or pelvic injury, the person should be left in the position in which they were found to avoid potential further injury unless the area is unsafe.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00005,2024,10,Class 1,C-EO,"An awake and alert person who is having difficulty breathing should be allowed to assume a position most comfortable for breathing, which will be sitting up in most situations.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00006,2024,10,Class 1,C-EO,Individuals who are ill or injured should be protected from hyperthermia or hypothermia due to exposure.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00007,2024,10,2A,C-LD,It is reasonable to position a person with decreased alertness of nontraumatic cause who is breathing normally in a recovery (side-lying) position. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00008,2024,12,2A,C-LD,"If a person shows evidence of shock with a normal level of alertness, it is reasonable to place or maintain the person in a supine position.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00009,2024,12,2A,C-LD,"If a person showing signs of shock is at risk for airway obstruction (decreased alertness, active vomiting) or cannot be continuously watched, it is reasonable to place the person in the recovery position.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00010,2024,12,2B,C-LD,"If there is no evidence of trauma or injury (eg, simple fainting, shock from nontraumatic bleeding, sepsis, dehydration), raising the feet about 6 to 12 in (≈30°–45°) from supine position may be reasonable while awaiting the arrival of EMS.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00011,2024,12,2B,C-EO,"If a person is placed in a leg-raised position that results in pain, discomfort, or worsened symptoms, returning the person to a supine position may be considered. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00012,2024,13,2B,C-LD,"The effectiveness/usefulness of oxygen adminis- tered in the first aid setting for adults or children exhibiting signs or symptoms of shortness of breath, difficulty breathing, or hypoxia is unknown.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00013,2024,13,Class 3: No Benefit,B-R,It is not beneficial to administer oxygen over room air in the first aid setting for adults experiencing acute stroke.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00014,2024,14,Class 1,C-EO,A physical examination and history should be the primary assessment methods for first aid provid- ers to evaluate an ill or injured person.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00015,2024,14,2A,C-EO,It is reasonable for first aid providers to use pulse oximetry results in the context of a complete assessment and to be aware of the limitations of pulse oximetry before acting on any results. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00016,2024,15,Class 1,B-R,First aid providers should assist a person with asthma who is having difficulty breathing with the administration of their own prescribed bronchodilators as needed.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00017,2024,15,2A,B-R,"It is reasonable to use either an inhaler with a spacer or a nebulizer when assisting a person with asthma to use their own inhaled bronchodilator medication, in preference to using an inhaler alone.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00018,2024,15,2A,B-R,"If a commercially available spacer is not available, it is reasonable to use an improvised spacer when assisting a person who is having an asthma attack to use their own inhaled bronchodilator medication. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00019,2024,16,Class 1,B-NR,"If stroke is suspected, the EMS system should be activated immediately.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00020,2024,16,Class 1,B-NR,"The use of a stroke recognition scale such as the Face, Arms, Speech, Time (FAST) or Cincinnati Prehospital Stroke Scale is recommended to aid in the recognition of acute stroke in adults.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00021,2024,16,2A,C-EO,It is reasonable for first aid providers to measure capillary blood glucose in adults with suspected stroke if it is available and does not delay activating EMS. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00022,2024,18,Class 1,B-NR,"If pediatric stroke is suspected, EMS should be activated, and the person should be transported to an ED.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00023,2024,18,2A,C-EO,It is reasonable to consider stroke when common pediatric symptoms are present in association with other neurological signs and symptoms.,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00024,2024,18,Class 3: No Benefit,C-EO,Adult stroke scores are not validated in the pediatric population and should not solely be used to identify the broad presentation of stroke in children. Recommendation-Specific Supportive Text,hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00025,2024,19,Class 1,C-LD,"In adults with acute chest pain, the emergency response system should be activated to initiate transport to the closest ED by EMS.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00026,2024,19,2B,B-NR,"While awaiting the arrival of EMS, first aid provid- ers may encourage alert adults experiencing non- traumatic chest pain to chew and swallow aspirin (162–325 mg), unless the person experiencing pain has a known aspirin allergy or has been advised by a health care professional not to take aspirin.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00027,2024,19,2B,C-EO,"If there is any uncertainty that aspirin should be taken, it is reasonable to wait for EMS arrival without administration of aspirin. Recommendation-Specific Supportive Text",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
id_00028,2024,20,Class 1,B-NR,"If a person experiences anaphylaxis and an epinephrine autoinjector is available, the person should self-administer the autoinjector.",hewett-brumberg-et-al-2024-american-heart-association-and-american-red-cross-guidelines-for-first-aid.pdf
