question_id,option_A,option_B,option_C,option_D,correct_answer,question_type
q_0000,"Thermal burns need to be cooled right away, ideally using clean running water.","In patients with Marfan syndrome, Loeys-Dietz syndrome, or vascular Ehlers-Danlos syn- drome and intact TAAA requiring intervention, open repair is recommended over endovascu- lar repair.7-9","In patients with a BAV and a diameter of the aortic root, ascending aorta, or both of ≥4.0 cm, lifelong surveillance imaging of the aortic root and ascending aorta by TTE, CT, or MRI is not recommended, regardless of aortic diameter and rate of growth.",We recommend that epinephrine be administered for patients in cardiac arrest.,C,2
q_0001,"For patients who cannot undergo high-intensity statin therapy due to contraindications or intolerance, it is advised to use moderate-intensity statin therapy to achieve a 30% to 49% reduction in LDL-C levels, thereby lowering the risk of MACE.","In patients with AF, SDM with the patient is recom- mended to discuss rhythm- versus rate-control strategies (taking into consideration clinical presen- tation, comorbidity burden, medication profile, and patient preferences), discuss therapeutic options, and for assessing long-term benefits.1–3","In patients undergoing ablation for AF, the value of other endpoints beyond PVI such as noninducibility and ablation of additional anatomic ablation targets (eg, posterior wall sites, low voltage areas, complex fractionated electrograms, rotors) is uncertain.8–18","In patients with spontaneous ICH, it is not recommended to administer depression and anxiety screening tools in the postacute period to identify patients with poststroke depression and anxiety.",D,2
q_0002,The efficacy of VA-ECMO in treating poisoned patients experiencing cardiovascular collapse due to non-cardiogenic shock remains unproven.,"For patients with CCD without contraindications, engaging in low-intensity lifestyle activities, such as taking walking breaks at work, to decrease sedentary behavior (such as sitting time) is advisable to enhance functional capacity and lower cardiovascular risk, particularly for those with low levels of regular leisure-time physical activity.","In patients undergoing revascularization, decisions should disregard the patient’s preferences and goals, cultural beliefs, health literacy, and social determinants of health, and be made without collaboration with the patient’s support system.","For patients with CCD, it is advised that healthcare providers address the out-of-pocket expenses for medications when starting a new medication and at least once a year thereafter to prevent nonadherence due to cost.",C,2
q_0003,"For patients with a history of CABG and complex CAD, opting for CABG instead of PCI might be advisable if an IMA can serve as a conduit to the LAD.","In patients with Marfan syndrome, Loeys-Dietz syndrome, or vascular Ehlers-Danlos syndrome and intact TAAA requiring intervention, endovascular repair is recommended over open repair.","In patients with AF and stroke or TIA, with moderate to severe mitral stenosis or a mechanical heart valve, who are able to maintain a therapeutic INR level with warfarin, use of dabigatran, rivaroxaban, apixaban, or edoxaban is not recommended to reduce the risk of recurrent stroke.","In patients with acute type A aortic dissection undergoing aortic repair, an open distal anastomosis is not recommended as it does not improve survival or increase false-lumen thrombosis rates.",A,1
q_0004,"In patients with PAD, cilostazol should not be used to reduce restenosis after endovascular therapy for femoropopliteal disease.","In patients with AF undergoing cardioversion, thera- peutic anticoagulation should be established before cardioversion and continued for at least 4 weeks afterwards without interruption to prevent thromboembolism.2–7","For patients with an indication for AVR for whom a bioprosthetic valve is preferred but valve or vascular anatomy or other factors are not suitable for transfemoral TAVI, SAVR is not recommended.","In patients with AF in whom cardioversion is deferred due to LAA thrombus detected on precardioversion imaging, therapeutic anticoagulation should not be instituted, and cardioversion should proceed without repeating imaging.",B,1
q_0005,"In stable patients with acute chest pain with high clinical suspicion for PE, CTA using a PE protocol is not recommended.",It is unreasonable for individuals with ocular exposure to industrial chemicals to adhere to local guidelines or recommendations from a poison center.,"In patients with CCD without previous MI or LVEF ≤50%, the use of beta-blocker therapy is beneficial in reducing MACE, even in the absence of another primary indication for beta-blocker therapy.","For patients with HCM, it is advised to conduct 24- to 48-hour ambulatory ECG monitoring during the initial assessment and periodically every 1 to 2 years to detect those at risk for SCD and to manage arrhythmias effectively.",D,1
q_0006,"In patients with acute type A aortic dissection undergoing surgical repair who require circulatory arrest, cerebral perfusion is not recommended to improve neurologic outcomes.","For patients with a mechanical SAVR or mitral valve replacement who are managed with a VKA and have an indication for antiplatelet therapy, addition of aspirin 75 to 100 mg daily may be considered when the risk of bleeding is low.26","Sodium bicarbonate can be appropriately used to manage life-threatening cardiotoxicity resulting from poisoning by sodium channel blockers, excluding tricyclic or tetracyclic antidepressants.","In patients undergoing valve repair or replacement with significant proximal CAD (≥70% reduction in luminal diameter in major coronary arteries or ≥50% reduction in luminal diameter in the left main coronary artery and/or physiologically significance), CABG is reasonable for selective patients.19,20",A,2
q_0007,"In patients with HCM who are deemed to be at high risk for developing AF based on the presence of risk factors or as determined by a validated risk score, and who are eligible for anticoagulation, extended ambulatory monitoring is not recommended to screen for AF as part of initial evaluation and annual follow-up.","For patients having elective endovascular repair of nonruptured AAA, it is advised to follow the manufacturer's usage guidelines.","In first-degree relatives of patients with HCM, both clinical screening (ECG and 2D echocar- diogram) and cascade genetic testing (when a pathogenic/likely pathogenic variant has been identified in the proband) should be offered.23,67,123,130–132","For patients with CCD, it is advised to use sublingual nitroglycerin or nitroglycerin spray for prompt short-term alleviation of angina or similar symptoms.",A,2
q_0008,"For pregnant women with mechanical prostheses who require a warfarin dose >5 mg/d to achieve a therapeutic INR, dose-adjusted LMWH should not be considered at any time during the 3 trimesters.",Flumazenil use can be harmful for patients with a heightened risk of seizures or dysrhythmias.,"In patients with known CVD, symptoms of CVD, or age ≥65 years with cardiovascular risk factors undergoing elevated-risk NCS, it is not reasonable to measure cTn at 24 and 48 hours after surgery to identify myocardial injury.",It is recommended for first aid providers to debride blisters associated with frostbite.,B,1
q_0009,"In patients with aSAH, the intraoperative use of mannitol or hypertonic saline is ineffective in reducing ICP and cerebral edema.","In patients with CCD on DAPT, the use of a PPI should not be considered as it is ineffective in reducing gastrointestinal bleeding risk.","In all patients, screening for cigarette smoking, use of other forms of tobacco, use of electronic nicotine delivery systems such as electronic cigarettes (e-cigarettes) and vapes, and environmental tobacco smoke exposure (secondhand smoke exposure) is ineffective in informing stroke risk and targeting cessation interventions.","It is reasonable to administer vasodilators (eg, nitrates, phentolamine, calcium channel blockers) for patients with cocaine-induced coronary vaso- spasm or hypertensive emergencies. Downloaded from http://ahajournals.org by on June 19, 2025",D,1
