id,original,paraphrased
id_01903,"In patients with CLTI, primary amputation is indicated when life over limb is the prevailing consideration and clinical factors suggest the threatened limb to be the cause of the patient’s instability (eg, ischemia, meta- bolic derangement, or advanced infection).","For patients with CLTI, primary amputation is recommended when prioritizing survival over limb preservation, and clinical evidence indicates that the compromised limb is causing the patient's instability, such as due to ischemia, metabolic imbalance, or severe infection."
id_00463,"In patients with acute chest pain where there is clinical concern for aortic dissection, computed tomography angiography (CTA) of the chest, abdomen, and pelvis is recommended for diagnosis and treatment planning.","For patients experiencing acute chest pain with suspected aortic dissection, it is advised to perform a computed tomography angiography (CTA) of the chest, abdomen, and pelvis for diagnostic and treatment planning purposes."
id_01423,"In patients with CCD, minimization of sodium (<2300 mg/d; optimally 1500 mg/d) and minimi- zation of processed meats (eg, cured bacon, hot dogs) can be beneficial to reduce the risk of CVD events.*2,3,6,7","For patients with CCD, reducing sodium intake to less than 2300 mg per day, ideally 1500 mg per day, and limiting consumption of processed meats such as cured bacon and hot dogs may help lower the risk of cardiovascular events."
id_00464,"In patients with acute chest pain where there is clinical concern for aortic dissection, TEE or CMR should be performed to make the diagnosis if CT is contraindicated or unavailable. Downloaded from http://ahajournals.org by on June 19, 2025","For patients experiencing acute chest pain with suspected aortic dissection, TEE or CMR should be utilized for diagnosis if CT cannot be used or is not accessible."
id_02383,"In patients with uncomplicated acute type B IMH, medical therapy as the initial manage- ment strategy is recommended.1-3,13","For patients with uncomplicated acute type B IMH, it is advised to begin treatment with medical therapy."
id_02384,"In patients with type B IMH who require repair of the distal aortic arch or descending thoracic aorta (zones 2-5) and have favorable anatomy, endo- vascular repair is reasonable when performed by surgeons with endovascular expertise.2,14","For patients with type B IMH needing repair of the distal aortic arch or descending thoracic aorta (zones 2-5) and possessing suitable anatomy, it is advisable to consider endovascular repair when conducted by surgeons skilled in endovascular techniques."
id_00465,"In stable patients with acute chest pain with high clinical suspicion for PE, CTA using a PE protocol is recommended.1-4","For stable patients experiencing acute chest pain with a strong clinical suspicion of PE, it is advised to perform a CTA following a PE protocol."
id_01425,"In patients with CCD, the intake of trans fat should be avoided because trans fat is associated with increased morbidity and mortality rates.*9,10 Nutrition Supplements","For individuals with CCD, trans fat consumption should be eliminated as it is linked to higher morbidity and mortality rates."
id_01904,"In patients with CLTI, a patient-centered approach using objective classification of the threatened limb, patient risk, and anatomic pattern of disease combined with patient and family goals is recom- mended to identify those patients in whom primary amputation or palliative management is appropriate.","For patients with CLTI, it is advised to employ a patient-centered strategy that incorporates an objective assessment of the limb's condition, patient risk factors, and the anatomical disease pattern, alongside the goals of the patient and family, to determine which patients are suitable for primary amputation or palliative care."
id_01424,"In patients with CCD, limiting refined carbohy- drates (eg, containing <25% whole grain by weight, including refined cold ready-to-eat break- fast cereal, white bread, white rice), and sugar- sweetened beverages (eg, soft drinks, energy drinks, fruit drinks with added sugars) can be beneficial to reduce the risk of CVD events.*2–4,6,8","For individuals with CCD, reducing intake of refined carbohydrates (such as those with less than 25% whole grain by weight, including refined cold cereals, white bread, and white rice) and sugar-sweetened drinks (like sodas, energy drinks, and fruit beverages with added sugars) may help lower the risk of CVD events."
id_00466,"For patients with acute chest pain and possible PE, need for further testing should be guided by pretest probability.","For individuals experiencing sudden chest pain with suspected pulmonary embolism, additional testing should be determined by the likelihood of the condition before testing."
